area_type,availability,location,bhk,size_comp,total_sqft,bath,balcony,price
Super built-up  Area,Date Set,Kothannur,3,BHK,1240,2,2,39.85
Super built-up  Area,Ready To Move,CV Raman Nagar,2,BHK,1020,2,1,55
Super built-up  Area,Ready To Move,2nd Stage Arekere Mico Layout,3,BHK,2095,3,2,142
Super built-up  Area,Ready To Move,Gunjur,3,BHK,1362,3,2,62.63
Super built-up  Area,Ready To Move,Yelahanka,1,BHK,694,1,0,30.84
Super built-up  Area,Ready To Move,Vittasandra,2,BHK,1404,2,2,70
Super built-up  Area,Ready To Move,Electronic City Phase II,3,BHK,1192,2,3,47
Plot  Area,Ready To Move,Wilson Garden,8,Bedroom,1850,12,2,300
Plot  Area,Ready To Move,Mahalakshmi Layout,4,Bedroom,1050,1,0,35
Super built-up  Area,Ready To Move,Vittasandra,2,BHK,1259,2,1,67.48
Super built-up  Area,Ready To Move,Kengeri,2,BHK,1000,2,2,34
Super built-up  Area,Date Set,Rachenahalli,2,BHK,985,2,1,49.97
Built-up  Area,Ready To Move,Indira Nagar,1,BHK,850,1,2,60
Built-up  Area,Ready To Move,Uttarahalli,3,BHK,1650,2,1,50
Plot  Area,Ready To Move,Rajaji Nagar,5,Bedroom,2400,3,1,320
Super built-up  Area,Ready To Move,Sarjapur  Road,3,BHK,1900,4,1,180
Super built-up  Area,Ready To Move,Ambedkar Nagar,2,BHK,1367,2,2,86
Super built-up  Area,Ready To Move,Rajaji Nagar,3,BHK,1210,2,2,81
Super built-up  Area,Ready To Move,Duvasapalya,2,BHK,1190,2,1,48.6
Super built-up  Area,Ready To Move,Sarjapur,2,BHK,1175,2,2,42
Super built-up  Area,Ready To Move,R.T. Nagar,4,BHK,2800,4,2,400
Super built-up  Area,Ready To Move,Whitefield,2,BHK,1140,2,2,40
Super built-up  Area,Ready To Move,Hoskote,2,BHK,1095,2,2,33.6
Super built-up  Area,Ready To Move,Attibele,1,BHK,782,1,0,19.55
Super built-up  Area,Ready To Move,Gubbalala,3,BHK,1435,2,2,80
Super built-up  Area,Ready To Move,Choodasandra,2,BHK,725,2,2,36
Built-up  Area,Ready To Move,BCMC Layout,3,BHK,1600,2,2,88
Plot  Area,Ready To Move,9th Phase JP Nagar,5,Bedroom,1200,5,2,160
Super built-up  Area,Ready To Move,Hosakerehalli,4,BHK,3205,4,2,300
Plot  Area,Ready To Move,Vishwapriya Layout,4,Bedroom,720,3,1,95
Super built-up  Area,Ready To Move,Nehru Nagar,3,BHK,1674,3,2,90
Plot  Area,Ready To Move,Jnanabharathi Layout,4,Bedroom,860,4,2,125
Super built-up  Area,Ready To Move,Haralur Road,2,BHK,1243,2,2,46
Super built-up  Area,Date Set,Kanakpura Road,3,BHK,1703,3,2,130
Super built-up  Area,Date Set,Padmanabhanagar,3,BHK,1350,3,1,71.55
Super built-up  Area,Ready To Move,Horamavu Agara,2,BHK,1145,2,1,41.21
Super built-up  Area,Date Set,Whitefield,2,BHK,1216,2,1,75
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,BHK,1100,3,1,60
Super built-up  Area,Ready To Move,Sarjapur  Road,4,BHK,2425,5,1,201
Plot  Area,Ready To Move,Kothanur,4,Bedroom,2700,4,2,175
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,BHK,1196,2,2,40.54
Carpet  Area,Ready To Move,Kanakpura Road,3,BHK,1600,3,3,90
Super built-up  Area,Date Set,Banashankari Stage V,3,BHK,1510,3,3,47.57
Super built-up  Area,Ready To Move,Hosakerehalli,4,BHK,3033,4,1,326
Plot  Area,Ready To Move,Pai Layout,2,Bedroom,780,2,1,72
Super built-up  Area,Ready To Move,Haralur Road,2,BHK,1194,2,2,47
Built-up  Area,Ready To Move,Banashankari Stage II,2,BHK,1250,2,2,110
Plot  Area,Ready To Move,Sarjapur  Road,5,Bedroom,1480,4,1,169
Plot  Area,Ready To Move,Horamavu Agara,4,Bedroom,1250,4,1,100
Plot  Area,Ready To Move,Udaya Nagar,4,Bedroom,1350,4,2,160
Built-up  Area,Ready To Move,Laggere,1,Bedroom,620,2,0,48
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,BHK,1630,3,2,60.65
Built-up  Area,Ready To Move,Hennur Road,2,BHK,1020,2,0,45
Super built-up  Area,Date Set,Hosakerehalli,3,BHK,1410,2,2,53.58
Carpet  Area,Date Set,Bhoganhalli,2,BHK,1181.7,2,1,100
Plot  Area,Ready To Move,9th Block Jayanagar,9,Bedroom,1200,8,3,270
Super built-up  Area,Ready To Move,Sarjapur  Road,3,BHK,1691,3,2,113
Built-up  Area,Ready To Move,KR Puram,4,Bedroom,1200,4,0,83
Super built-up  Area,Ready To Move,Banaswadi,2,BHK,1200,2,3,60
Super built-up  Area,Ready To Move,Old Airport Road,2,BHK,1050,2,2,50
Super built-up  Area,Ready To Move,Kathriguppe,3,BHK,1300,3,2,77.99
Super built-up  Area,Date Set,Whitefield,2,BHK,1356,2,1,94.84
Super built-up  Area,Date Set,Whitefield,2,BHK,1338,2,1,103
Super built-up  Area,Ready To Move,Kengeri Satellite Town Stage II,1,BHK,500,1,1,20
Super built-up  Area,Date Set,Vasantha Vallabha Nagar,3,BHK,1280,2,1,100
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,BHK,1531,3,3,51.77
Super built-up  Area,Date Set,Church Street,4,BHK,11000,4,1,1600
Built-up  Area,Ready To Move,Anekal,2,BHK,620,1,1,23.5
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3,BHK,1605,2,2,65
Super built-up  Area,Ready To Move,Thanisandra,3,BHK,1917,3,2,110
Plot  Area,Ready To Move,Nagarbhavi,4,Bedroom,1200,3,1,340
Super built-up  Area,Ready To Move,Srinivas Colony,3,BHK,2750,3,2,943
Built-up  Area,Ready To Move,Sarjapur  Road,3,BHK,1400,3,2,55
Built-up  Area,Ready To Move,Thubarahalli,3,BHK,2625,3,3,175
Built-up  Area,Ready To Move,Sahakara Nagar,2,BHK,1100,2,1,55
Super built-up  Area,Ready To Move,Hennur Road,3,BHK,2041,3,3,128
Super built-up  Area,Ready To Move,Sarjapur  Road,3,BHK,2070,4,2,160
Super built-up  Area,Ready To Move,Hebbal,3,BHK,1110,3,3,59
Built-up  Area,Ready To Move,Uday Nagar,3,BHK,1650,3,1,110
Plot  Area,Date Set,Ambedkar Nagar,4,Bedroom,3565,4,3,255
Super built-up  Area,Date Set,Varthur Road,3,BHK,1033,2,2,30.47
Super built-up  Area,Ready To Move,HSR Layout,2,BHK,1142,2,2,65
Super built-up  Area,Ready To Move,Mathikere,3,BHK,1500,2,2,75
Super built-up  Area,Ready To Move,Electronic City Phase II,3,BHK,1502,3,3,50
Super built-up  Area,Ready To Move,Shree Ananth Nagar Layout,3,BHK,1176,2,1,45
Super built-up  Area,Date Set,Hosa Road,2,BHK,1063,2,1,32.8
Built-up  Area,Ready To Move,Kammanahalli,2,BHK,1100,2,1,60
Plot  Area,Ready To Move,Kamakshipalya,2,Bedroom,1044,2,2,85
Plot  Area,Ready To Move,Sarjapur  Road,3,Bedroom,5400,3,2,700
Built-up  Area,Ready To Move,6th Phase JP Nagar,2,BHK,1216,2,2,60
Super built-up  Area,Ready To Move,Suddaguntepalya,3,BHK,1425,3,2,55
Plot  Area,Ready To Move,Hongasandra,8,Bedroom,1200,8,2,150
Super built-up  Area,Ready To Move,Hosur Road,2,BHK,1345,2,2,108
Super built-up  Area,Ready To Move,Marathahalli,2,BHK,1248,2,1,130
Plot  Area,Ready To Move,Chaitanya Ananya,4,Bedroom,1830,4,2,325
Built-up  Area,Ready To Move,Shankarapuram,2,BHK,900,1,0,130
Built-up  Area,Ready To Move,Bellandur,4,Bedroom,3600,4,2,245
Super built-up  Area,Ready To Move,Uttarahalli,2,BHK,1025,2,1,35.88
Plot  Area,Ready To Move,Nagashetty Halli,2,Bedroom,840,1,1,99
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3,BHK,3050,2,2,90
Super built-up  Area,Ready To Move,Kadubeesanahalli,3,BHK,1424,2,2,75
Built-up  Area,Ready To Move,EPIP Zone,3,BHK,2500,3,1,268
Plot  Area,Ready To Move,ISRO Layout,6,Bedroom,1200,6,2,230
Super built-up  Area,Date Set,Byrasandra Extension,2,BHK,1285,2,2,45
Super built-up  Area,Ready To Move,Babusapalaya,2,BHK,1450,2,1,55.99
Super built-up  Area,Date Set,Raja Rajeshwari Nagar,2,BHK,1160,2,1,70
Plot  Area,Ready To Move,Yelahanka New Town,3,Bedroom,2700,3,0,350
Plot  Area,Date Set,Gattahalli,3,Bedroom,2000,2,2,95
Super built-up  Area,Ready To Move,Uttarahalli,2,BHK,1125,2,1,47.65
Built-up  Area,Ready To Move,Old Madras Road,4,Bedroom,3900,4,2,175
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,BHK,1133,2,1,38.37
Super built-up  Area,Ready To Move,Arekere,2,BHK,1240,2,2,60
Super built-up  Area,Date Set,Devanahalli,3,BHK,1466,3,3,77.59
Super built-up  Area,Ready To Move,Outer Ring Road East,4,BHK,3870,4,2,411
Super built-up  Area,Ready To Move,Ramagondanahalli,3,BHK,1610,2,2,115
Super built-up  Area,Ready To Move,Sarjapur  Road,3,BHK,1220,3,2,56
Built-up  Area,Ready To Move,Kaggadasapura,2,BHK,1225,2,2,48
Super built-up  Area,Ready To Move,Akshaya Nagar,2,BHK,1300,2,1,54
Super built-up  Area,Date Set,Thanisandra,3,BHK,1996,4,1,123
Super built-up  Area,Ready To Move,Mallathahalli,3,BHK,1320,2,2,55
Super built-up  Area,Ready To Move,Rajaji Nagar,3,BHK,1800,3,2,240
Super built-up  Area,Ready To Move,Richmond Town,3,BHK,1835,3,3,175
Super built-up  Area,Ready To Move,Sarjapur  Road,3,BHK,1435,3,2,90
Super built-up  Area,Ready To Move,Whitefield,3,BHK,4097,3,2,400
Super built-up  Area,Ready To Move,Rayasandra,3,BHK,1601,3,3,70
Super built-up  Area,Ready To Move,Kadubeesanahalli,2,BHK,1257,2,2,93
Super built-up  Area,Ready To Move,Iblur Village,4,BHK,3596,5,1,260
Super built-up  Area,Ready To Move,Kasavanhalli,2,BHK,1309,2,2,95
Plot  Area,Ready To Move,Yeshwanthpur,2,Bedroom,1362,2,0,100
Super built-up  Area,Ready To Move,Whitefield,2,BHK,1115,2,1,55
Super built-up  Area,Ready To Move,Whitefield,3,BHK,1870,3,2,90
Super built-up  Area,Date Set,manyata park,2,BHK,1322,2,1,61.99
Super built-up  Area,Ready To Move,Telecom Layout,3,BHK,1450,2,1,65
Super built-up  Area,Ready To Move,Banashankari,2,BHK,1185,2,2,67
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,BHK,1790,3,3,120
Plot  Area,Ready To Move,Whitefield,3,Bedroom,3450,4,2,208
Super built-up  Area,Ready To Move,Rachenahalli,2,BHK,1050,2,2,52.5
Super built-up  Area,Ready To Move,Budigere,1,BHK,693,1,0,27.38
Plot  Area,Ready To Move,Sarjapur  Road,4,Bedroom,5400,4,2,750
Super built-up  Area,Ready To Move,Devanahalli,1,BHK,775,1,0,39
Built-up  Area,Ready To Move,Hoodi,2,BHK,1000,2,2,48
Super built-up  Area,Date Set,Thanisandra,2,BHK,1183,2,1,77.25
Super built-up  Area,Date Set,Binny Pete,3,BHK,1282,3,2,178
Super built-up  Area,Ready To Move,Alur,1,BHK,425,1,1,15
Built-up  Area,Ready To Move,Nelamangala,2,BHK,820,2,2,30
Super built-up  Area,Ready To Move,Richmond Town,4,BHK,2230,4,2,792
Built-up  Area,Ready To Move,Hebbal,2,BHK,1200,2,2,52
Super built-up  Area,Date Set,Ramagondanahalli,2,BHK,1151,2,2,43.6
Super built-up  Area,Ready To Move,Hulimavu,3,BHK,1320,2,2,59
Carpet  Area,Date Set,Bikasipura,3,BHK,1450,3,2,68
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3,BHK,1270,2,3,50.79
Super built-up  Area,Ready To Move,Hegde Nagar,3,BHK,1847,3,2,123
Super built-up  Area,Date Set,Devanahalli,1,BHK,1020,2,1,49.87
Super built-up  Area,Ready To Move,Somasundara Palya,3,BHK,1650,3,2,95
Super built-up  Area,Ready To Move,Richmond Town,4,BHK,2380,4,3,242
Built-up  Area,Ready To Move,Electronic City,3,BHK,2400,2,2,78
Super built-up  Area,Ready To Move,Begur Road,2,BHK,1160,2,2,44
Super built-up  Area,Date Set,Haralur Road,4,BHK,2805,4,3,154
Super built-up  Area,Date Set,Mysore Road,3,BHK,1360,3,0,47.6
Super built-up  Area,Ready To Move,Brookefield,2,BHK,1089,2,1,49
Super built-up  Area,Ready To Move,Yelahanka,2,BHK,1115,2,2,60
Super built-up  Area,Ready To Move,Kudlu Gate,2,BHK,1215,2,1,45
Super built-up  Area,Ready To Move,Sarjapur  Road,2,BHK,1194,2,1,51
Super built-up  Area,Date Set,Kannamangala,3,BHK,1536,3,1,104
Super built-up  Area,Ready To Move,Hennur,2,BHK,1255,2,2,55.5
Super built-up  Area,Date Set,Electronic City,3,BHK,1571,3,2,83
Plot  Area,Ready To Move,Virupakshapura,2,Bedroom,900,1,0,70
Super built-up  Area,Ready To Move,Keshava Nagar,2,BHK,1517,2,2,125
Super built-up  Area,Ready To Move,Budigere,1,BHK,664,1,1,35.4
Super built-up  Area,Ready To Move, Devarachikkanahalli,2,BHK,1230,2,1,58
Super built-up  Area,Ready To Move,Hegde Nagar,2,BHK,1340,2,2,72
Super built-up  Area,Ready To Move,Attibele,2,BHK,1175,2,1,29.38
Plot  Area,Ready To Move,Benson Town,4,Bedroom,3569,4,1,600
Super built-up  Area,Ready To Move,Sarjapur,2,BHK,1240,2,2,43.1
Built-up  Area,Ready To Move,V.V Puram,3,BHK,1360,2,0,150
Super built-up  Area,Ready To Move,Electronic City,3,BHK,1470,2,1,44.1
Super built-up  Area,Date Set,Kanakpura Road,1,BHK,525,2,2,29.25
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,BHK,1680,3,2,117
Super built-up  Area,Ready To Move,Sri Sai Layout,2,BHK,1000,2,2,35
Super built-up  Area,Ready To Move,Gunjur,2,BHK,1071,2,1,51
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3,BHK,1512,3,2,80
Built-up  Area,Ready To Move,Frazer Town,4,BHK,3435,2,1,341
Super built-up  Area,Date Set,Thanisandra main road,3,BHK,3144,3,1,455
Built-up  Area,Ready To Move,Kalyan nagar,2,BHK,1190,2,1,60
Super built-up  Area,Ready To Move,Pattandur Agrahara,3,BHK,1550,2,3,80
Super built-up  Area,Date Set,Kanakpura Road,2,BHK,1283,2,2,63.22
Built-up  Area,Ready To Move,Mallasandra,2,BHK,1325,2,2,73
Super built-up  Area,Ready To Move,Whitefield,2,BHK,1105,2,1,35.36
Super built-up  Area,Ready To Move,Banaswadi,3,BHK,1600,3,2,74.5
Plot  Area,Ready To Move,Devara Jeevanahalli,4,Bedroom,400,2,2,35
Super built-up  Area,Date Set,Kanakpura Road,2,BHK,800,2,2,41.15
Super built-up  Area,Ready To Move,Hennur,2,BHK,1100,2,1,44.55
Super built-up  Area,Date Set,Talaghattapura,3,BHK,2099,3,3,147
Super built-up  Area,Ready To Move,Yelachenahalli,3,BHK,1365,2,1,72
Super built-up  Area,Ready To Move,Hebbal Kempapura,2,BHK,1485,3,3,132
Super built-up  Area,Ready To Move,Hosur Road,2,BHK,1250,2,1,55
Super built-up  Area,Ready To Move,Chikkalasandra,3,BHK,1290,2,2,56.12
Super built-up  Area,Ready To Move,Bellandur,2,BHK,1170,2,1,46.79
Super built-up  Area,Date Set,Kanakpura Road,2,BHK,1328,2,3,91.06
Super built-up  Area,Date Set,Hennur Road,2,BHK,1232,2,1,87
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2,BHK,1180,2,2,88.5
Super built-up  Area,Ready To Move,Electronic City,3,BHK,1350,3,2,66
Super built-up  Area,Date Set,Nagawara Junction,4,BHK,3602,4,2,280
Super built-up  Area,Ready To Move,Nagasandra,4,BHK,2400,4,1,145
Super built-up  Area,Ready To Move,Electronic City Phase II,2,BHK,1020,2,2,32
Super built-up  Area,Ready To Move,Begur Road,3,BHK,1410,2,3,49.34
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,3,BHK,2159,3,2,120
Plot  Area,Immediate Possession,Anekal,2,BHK,1453,2,2,16.5
Super built-up  Area,Date Set,TC Palaya,3,BHK,1200,2,0,66
Super built-up  Area,Ready To Move,Hennur,2,BHK,1255,2,1,57.5
Super built-up  Area,Date Set,Whitefield,2,BHK,1074,2,1,42.79
Plot  Area,Date Set,Suragajakkanahalli,3,Bedroom,1200,3,2,72
Super built-up  Area,Date Set,Sarjapur,3,BHK,1170,2,2,35.41
Super built-up  Area,Date Set,Tumkur Road,1,BHK,728.5,1,0,31.32
Super built-up  Area,Ready To Move,Bommanahalli,3,BHK,1660,2,2,100
Plot  Area,Ready To Move,Gattigere,5,Bedroom,900,6,1,95
Built-up  Area,Ready To Move,SK Garden,6,Bedroom,1850,3,0,175
Built-up  Area,Ready To Move,Gowdanapalya,1,Bedroom,510,1,0,34
Super built-up  Area,Ready To Move,Mahadevpura,3,BHK,1601,3,2,95
Super built-up  Area,Date Set,Begur Road,2,BHK,952,2,1,42
Super built-up  Area,Ready To Move,PNS Layout,2,BHK,1166,2,3,65
Built-up  Area,Ready To Move,Venkatapura,3,BHK,2700,2,1,260
Built-up  Area,Ready To Move,Electronic City Phase II,4,Bedroom,1900,3,1,97
Plot  Area,Ready To Move,Mathikere,3,Bedroom,1350,2,0,175
Super built-up  Area,Date Set,Haralur Road,3,BHK,1520,2,2,96
Plot  Area,Ready To Move,Harsha Layout,4,Bedroom,2100,6,3,100
Super built-up  Area,Ready To Move,Yelenahalli,2,BHK,1175,2,2,50
Super built-up  Area,Ready To Move,Bharathi Nagar,2,BHK,1432,2,2,68
Super built-up  Area,Date Set,Bommasandra Industrial Area,2,BHK,1005,2,1,39.77
Super built-up  Area,Ready To Move,Rajiv Nagar,2,BHK,1309,2,1,80
Super built-up  Area,Ready To Move,Dairy Circle,3,BHK,2251,4,2,370
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,BHK,1050,2,1,77
Super built-up  Area,Date Set,Kanakpura Road,3,BHK,1100,3,2,53
Plot  Area,Ready To Move,Sanjay nagar,3,Bedroom,2400,3,3,310
Super built-up  Area,Ready To Move,Begur Road,3,BHK,1565,2,2,56.34
Built-up  Area,Ready To Move,1st Stage Indira Nagar,2,BHK,940,2,1,56
Super built-up  Area,Date Set,Yarandahalli,2,BHK,1015,2,1,40.1
Plot  Area,Ready To Move,BTM 2nd Stage,3,Bedroom,2400,2,0,360
Super built-up  Area,Ready To Move,Electronic City,3,BHK,1652,3,3,110
Super built-up  Area,Ready To Move,Whitefield,2,BHK,1100,2,2,52
Super built-up  Area,Ready To Move,Rajiv Nagar,4,BHK,2340,4,1,145
Super built-up  Area,Date Set,Koramangala,2,BHK,1084,2,1,179
Plot  Area,Ready To Move,Kammanahalli,2,Bedroom,1200,1,1,81
Super built-up  Area,Ready To Move,Kacharakanahalli,3,BHK,1400,3,3,69
Plot  Area,Date Set,HBR Layout,4,Bedroom,2400,5,0,320
Super built-up  Area,Date Set,Electronic City Phase II,2,BHK,1020,2,1,27.43
Super built-up  Area,Ready To Move,Whitefield,2,BHK,1267,2,1,90.33
Super built-up  Area,Ready To Move,Bhoganhalli,4,BHK,2439,4,3,185
Built-up  Area,Ready To Move,Ashwath Nagar,3,BHK,1645,3,2,95
Super built-up  Area,Ready To Move,Sahakara Nagar,3,BHK,1100,2,2,75
Built-up  Area,Date Set,Electronic City,3,BHK,1320,2,1,38.12
Super built-up  Area,Date Set,Ananth Nagar,2,BHK,1000,2,1,29.7
Built-up  Area,Ready To Move,Whitefield,4,Bedroom,5000,5,2,550
Built-up  Area,Ready To Move,KR Puram,6,Bedroom,2500,6,3,58
Plot  Area,Ready To Move,Kengeri Satellite Town,2,Bedroom,2480,2,1,160
Built-up  Area,Ready To Move,Kalyan nagar,2,BHK,1086,2,2,44.5
Super built-up  Area,Date Set,Kengeri,1,BHK,416,1,1,18
Built-up  Area,Ready To Move,Hennur Road,2,BHK,1066,2,1,52.23
Super built-up  Area,Ready To Move,OMBR Layout,3,BHK,1730,3,1,93
Super built-up  Area,Date Set,Balagere,2,BHK,1205,2,1,63.86
Super built-up  Area,Ready To Move,Marathahalli,4,BHK,2500,5,2,175
Super built-up  Area,Ready To Move,Subramanyapura,2,BHK,960,2,1,55
Super built-up  Area,Date Set,Haralur Road,3,BHK,1510,3,2,83.05
Built-up  Area,Ready To Move,Kanaka Nagar,4,Bedroom,1600,4,2,90
Built-up  Area,Ready To Move,Old Madras Road,3,Bedroom,2300,3,2,142
Built-up  Area,Ready To Move,Jakkasandra Extension,2,BHK,1000,2,1,63
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2,BHK,1160,2,1,46.39
Super built-up  Area,Date Set,Hormavu,3,BHK,1553,2,2,58.23
Super built-up  Area,Ready To Move,Frazer Town,4,BHK,3436,5,2,345
Super built-up  Area,Date Set,Seegehalli,2,BHK,1134,2,2,45
Plot  Area,Ready To Move,Nagasandra,4,Bedroom,600,4,2,80
Plot  Area,Ready To Move,Horamavu Agara,5,Bedroom,2400,3,3,80
Plot  Area,Date Set,Whitefield,4,Bedroom,2400,4,1,143
Super built-up  Area,Ready To Move,Nagashetty Halli,2,BHK,1350,2,2,65
Super built-up  Area,Ready To Move,Sarjapur,2,BHK,1032,2,1,42
Super built-up  Area,Ready To Move,Tigalarpalya,3,BHK,1998,3,2,117
Super built-up  Area,Date Set,Murugeshpalya,2,BHK,1225,2,2,48
Super built-up  Area,Ready To Move,Sarjapur  Road,2,BHK,1262,2,2,67
Super built-up  Area,Date Set,Badavala Nagar,3,BHK,1842,3,2,115
Super built-up  Area,Ready To Move,Thomas Town,2,BHK,1300,2,2,60
Super built-up  Area,Date Set,Kothannur,2,BHK,1070,2,2,38.6
Built-up  Area,Date Set,"Electronic city Phase 1, ",2,BHK,950,2,1,33
Super built-up  Area,Date Set,Balagere,2,BHK,1012,2,1,53.58
Built-up  Area,Ready To Move,TC Palaya,2,Bedroom,1000,2,0,70
Super built-up  Area,Ready To Move,Kadugodi,2,BHK,1394,2,2,56
Super built-up  Area,Ready To Move,Amruthahalli,3,BHK,1450,2,1,85
Super built-up  Area,Ready To Move, Banaswadi,1,RK,527,1,0,35
Super built-up  Area,Ready To Move,Sarjapur  Road,3,BHK,1693,3,2,125
Super built-up  Area,Ready To Move,Thigalarapalya,4,BHK,3122,6,2,235
Super built-up  Area,Ready To Move,Horamavu Agara,2,BHK,1000,2,1,46
Built-up  Area,Ready To Move,Kogilu,2,BHK,952,2,2,49
Super built-up  Area,Ready To Move,Malleshwaram,3,BHK,2050,4,2,270
Super built-up  Area,Ready To Move,Kengeri,1,BHK,1200,1,1,14
Super built-up  Area,Date Set,Mysore Road,3,BHK,1410,2,2,64
Super built-up  Area,Ready To Move,Hebbal Kempapura,2,BHK,1400,2,2,108
Plot  Area,Ready To Move,Chikka Tirupathi,4,Bedroom,3056,5,2,100
Super built-up  Area,Ready To Move,Sarjapur  Road,3,BHK,1826,3,2,125
Super built-up  Area,Date Set,Hosur Road,3,BHK,1689,3,2,103
Super built-up  Area,Ready To Move,Bisuvanahalli,3,BHK,1075,2,1,31
Super built-up  Area,Ready To Move,Bannerghatta Road,5,BHK,2500,4,2,1400
Super built-up  Area,Ready To Move,Hennur,2,BHK,960,2,1,48
Built-up  Area,Ready To Move,Channasandra,2,BHK,808,2,1,40
Super built-up  Area,Ready To Move,Kodichikkanahalli,2,BHK,907,2,2,38.5
Super built-up  Area,Ready To Move,Uttarahalli,2,BHK,1300,2,2,55
Super built-up  Area,Ready To Move,Sector 1 HSR Layout,3,BHK,1804,3,2,150
Super built-up  Area,Ready To Move,Naidu Layout,3,BHK,1350,3,2,81
Super built-up  Area,Ready To Move,Whitefield,3,BHK,1836,3,2,125
Super built-up  Area,Ready To Move,Sugama Layout,2,BHK,826,2,2,36
Super built-up  Area,Ready To Move,Hormavu,2,BHK,1200,2,3,68
Super built-up  Area,Date Set,1st Block Koramangala,4,BHK,3000,3,3,300
Plot  Area,Ready To Move,Indira Nagar,4,Bedroom,2400,4,2,405
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2,BHK,1460,2,2,80
Plot  Area,Ready To Move,Hoskote,4,Bedroom,1200,4,3,140
Super built-up  Area,Ready To Move,BTM 2nd Stage,2,BHK,965,2,2,56
Carpet  Area,Ready To Move,Kothannur,4,Bedroom,2000,4,2,95
Super built-up  Area,Ready To Move,Bhoganhalli,3,BHK,1395,2,2,70
Super built-up  Area,Ready To Move,Sarjapur  Road,3,BHK,1660,3,2,116
Super built-up  Area,Ready To Move,Kada Agrahara,2,BHK,935,2,2,35
Super built-up  Area,Ready To Move,Hongasandra,2,BHK,1180,2,1,39
Built-up  Area,Date Set,Electronic City,2,BHK,1090,2,1,31.48
Super built-up  Area,Date Set,Kanakpura Road,2,BHK,1204,2,1,82
Super built-up  Area,Ready To Move,Thigalarapalya,3,BHK,2072,4,2,153
Built-up  Area,Ready To Move,Haralur Road,2,BHK,1056,2,1,65
Super built-up  Area,Date Set,Hebbal,2,BHK,985,2,2,62
Super built-up  Area,Ready To Move,Banashankari Stage V,3,BHK,1315,2,2,49
Built-up  Area,Ready To Move,KR Puram,2,BHK,734,2,1,22
Built-up  Area,Ready To Move,Kammanahalli,4,Bedroom,2900,4,2,200
Super built-up  Area,Ready To Move,Yelahanka,3,BHK,2317,4,3,140
Built-up  Area,Ready To Move,Singasandra,1,Bedroom,600,1,0,45
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,4,Bedroom,2200,3,0,115
Super built-up  Area,Ready To Move,Attibele,2,BHK,656,2,1,25
Built-up  Area,Ready To Move,Attibele,1,BHK,400,1,1,11.5
Super built-up  Area,Ready To Move,Yeshwanthpur,1,BHK,666,1,1,36.8
Plot  Area,Ready To Move,Kadubeesanahalli,4,Bedroom,3293,5,2,425
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,BHK,1174,2,1,47
Super built-up  Area,Ready To Move,Budigere,2,BHK,1153,2,2,56.7
Plot  Area,Ready To Move,Jalahalli,4,Bedroom,1000,4,1,90
Built-up  Area,Ready To Move,Narayanapura,5,BHK,2400,5,2,85
Super built-up  Area,Ready To Move,Marathahalli,2,BHK,957,2,1,47
Built-up  Area,Ready To Move,Banashankari Stage III,2,BHK,910,2,2,160
Built-up  Area,Date Set,Sarjapur  Road,2,BHK,1060,2,1,50
Super built-up  Area,Date Set,Banashankari,2,BHK,1000,2,1,50
Super built-up  Area,Ready To Move,Kanakpura Road,3,BHK,1843,3,2,88
Super built-up  Area,Ready To Move,Kanakpura Road,3,BHK,1150,2,2,40.25
Super built-up  Area,Date Set,Chandapura,3,BHK,1230,2,2,31.37
Super built-up  Area,Ready To Move,Kodihalli,4,BHK,3197,5,2,335
Super built-up  Area,Date Set,Kanakpura Road,3,BHK,1703,3,2,130
Super built-up  Area,Ready To Move,Kaval Byrasandra,2,BHK,1125,2,1,41.5
Super built-up  Area,Ready To Move,Battarahalli,3,BHK,1516,3,3,65
Super built-up  Area,Ready To Move,Brookefield,2,BHK,1130,2,2,56
Super built-up  Area,Ready To Move,Iblur Village,4,BHK,3596,5,1,279
Super built-up  Area,Date Set,Hosa Road,3,BHK,1512,3,2,103
Built-up  Area,Ready To Move,Thanisandra,3,BHK,1491,3,1,88
Super built-up  Area,Ready To Move,Cox Town,2,BHK,1250,2,2,95
Super built-up  Area,Date Set,Banashankari,3,BHK,1650,3,2,90.75
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,BHK,1140,2,1,48.7
